X,Y,Z,r,absv
-0.953212,-0.481171,-0.483964,0.016,3.1147e-07
-0.964715,-0.473738,-0.48402,0.016,3.1147e-07
-0.953799,-0.467855,-0.484022,0.016,3.1147e-07
-0.901254,-0.483629,-0.484002,0.016,6.97985e-07
-0.911208,-0.474224,-0.484002,0.016,6.97985e-07
-0.899403,-0.47043,-0.484002,0.016,6.97985e-07
-0.843866,-0.484009,-0.484005,0.016,1.45975e-06
-0.852556,-0.473424,-0.484011,0.016,1.45975e-06
-0.840366,-0.471149,-0.48401,0.016,1.45975e-06
-0.790631,-0.484015,-0.483858,0.016,1.22356e-06
-0.798428,-0.472757,-0.484021,0.016,1.22356e-06
-0.786116,-0.47149,-0.483262,0.016,1.22356e-06
-0.735976,-0.483968,-0.48378,0.016,2.69326e-06
-0.743607,-0.472599,-0.484019,0.016,2.69326e-06
-0.731255,-0.471505,-0.483946,0.016,2.69326e-06
-0.680611,-0.48326,-0.483675,0.016,3.42869e-06
-0.688987,-0.47243,-0.484018,0.016,3.42869e-06
-0.67674,-0.470506,-0.483749,0.016,3.42869e-06
-0.628755,-0.483999,-0.483868,0.016,3.09457e-06
-0.636692,-0.472839,-0.484024,0.016,3.09457e-06
-0.624379,-0.471411,-0.483706,0.016,3.09457e-06
-0.573144,-0.483944,-0.483999,0.016,4.27778e-06
-0.582301,-0.47376,-0.484015,0.016,4.27778e-06
-0.570229,-0.470941,-0.483728,0.016,4.27778e-06
-0.519124,-0.483557,-0.483939,0.016,4.61635e-06
-0.52715,-0.47246,-0.484021,0.016,4.61635e-06
-0.514844,-0.470935,-0.484021,0.016,4.61635e-06
-0.466017,-0.484008,-0.483689,0.016,2.70391e-06
-0.473101,-0.472292,-0.484011,0.016,2.70391e-06
-0.460712,-0.471785,-0.484003,0.016,2.70391e-06
-0.411261,-0.483928,-0.484002,0.016,6.22846e-07
-0.418775,-0.472479,-0.484002,0.016,6.22846e-07
-0.406413,-0.471513,-0.484002,0.016,6.22846e-07
-0.356393,-0.483806,-0.484003,0.016,2.68928e-06
-0.364063,-0.47246,-0.484003,0.016,2.68928e-06
-0.351715,-0.471325,-0.484003,0.016,2.68928e-06
-0.302571,-0.483991,-0.48399,0.016,4.93424e-06
-0.310885,-0.473109,-0.483965,0.016,4.93424e-06
-0.298624,-0.471261,-0.484014,0.016,4.93424e-06
-0.249356,-0.483997,-0.483747,0.016,5.4719e-06
-0.256071,-0.472064,-0.484015,0.016,5.4719e-06
-0.243672,-0.471945,-0.484007,0.016,5.4719e-06
-0.196139,-0.483965,-0.484002,0.016,7.24451e-07
-0.203753,-0.472582,-0.484002,0.016,7.24451e-07
-0.1914,-0.471508,-0.484002,0.016,7.24451e-07
-0.140789,-0.483988,-0.48401,0.016,1.15959e-05
-0.148958,-0.472996,-0.484019,0.016,1.15959e-05
-0.136674,-0.471312,-0.483855,0.016,1.15959e-05
-0.0869,-0.483985,-0.483999,0.016,9.66168e-06
-0.0953104,-0.473177,-0.484013,0.016,9.66168e-06
-0.0830692,-0.471223,-0.483706,0.016,9.66168e-06
-0.0347713,-0.483709,-0.483946,0.016,5.50805e-06
-0.0424292,-0.472355,-0.484007,0.016,5.50805e-06
-0.03008,-0.471234,-0.484019,0.016,5.50805e-06
0.0212008,-0.483589,-0.483974,0.016,6.242e-06
0.0129261,-0.472676,-0.483974,0.016,6.242e-06
0.0251942,-0.470873,-0.484019,0.016,6.242e-06
0.0740885,-0.483918,-0.484004,0.016,9.53105e-06
0.066377,-0.4726,-0.484004,0.016,9.53105e-06
0.0787127,-0.471426,-0.483542,0.016,9.53105e-06
0.127749,-0.483988,-0.484,0.016,1.56156e-05
0.120765,-0.472207,-0.48402,0.016,1.56156e-05
0.133159,-0.471808,-0.484012,0.016,1.56156e-05
0.182527,-0.484004,-0.483983,0.016,1.02875e-05
0.174148,-0.473172,-0.484003,0.016,1.02875e-05
0.186398,-0.471251,-0.484004,0.016,1.02875e-05
0.236655,-0.483969,-0.483978,0.016,1.15203e-05
0.228621,-0.472878,-0.484017,0.016,1.15203e-05
0.240925,-0.471343,-0.484006,0.016,1.15203e-05
